Lote,Linea,Palma,Longitud,Latitud
34055,9,10,-73.197519000000,3.719307000000
34055,9,11,-73.197269000000,3.719307000000
34055,10,1,-73.199769000000,3.719557000000
34055,10,2,-73.199519000000,3.719557000000
34055,10,3,-73.199269000000,3.719557000000
34055,10,4,-73.199019000000,3.719557000000
34055,10,5,-73.198769000000,3.719557000000
34055,10,6,-73.198519000000,3.719557000000
34055,10,7,-73.198269000000,3.719557000000
34055,10,8,-73.198019000000,3.719557000000
34055,10,9,-73.197769000000,3.719557000000
34055,10,10,-73.197519000000,3.719557000000
34055,10,11,-73.197269000000,3.719557000000
34055,11,1,-73.199769000000,3.719807000000
34055,11,2,-73.199519000000,3.719807000000
34055,11,3,-73.199269000000,3.719807000000
34055,11,4,-73.199019000000,3.719807000000
34055,11,5,-73.198769000000,3.719807000000
34055,11,6,-73.198519000000,3.719807000000
34055,11,7,-73.198269000000,3.719807000000
34055,11,8,-73.198019000000,3.719807000000
34055,11,9,-73.197769000000,3.719807000000
34055,11,10,-73.197519000000,3.719807000000
34055,11,11,-73.197269000000,3.719807000000
34055,12,1,-73.199769000000,3.720057000000
34055,12,2,-73.199519000000,3.720057000000
34055,12,3,-73.199269000000,3.720057000000
34055,12,4,-73.199019000000,3.720057000000
34055,12,5,-73.198769000000,3.720057000000
34055,12,6,-73.198519000000,3.720057000000
34055,12,7,-73.198269000000,3.720057000000
34055,12,8,-73.198019000000,3.720057000000
34055,12,9,-73.197769000000,3.720057000000
34055,12,10,-73.197519000000,3.720057000000
34055,12,11,-73.197269000000,3.720057000000
34055,13,1,-73.199769000000,3.720307000000
34055,13,2,-73.199519000000,3.720307000000
34055,13,3,-73.199269000000,3.720307000000
34055,13,4,-73.199019000000,3.720307000000
34055,13,5,-73.198769000000,3.720307000000
34055,13,6,-73.198519000000,3.720307000000
34055,13,7,-73.198269000000,3.720307000000
34055,13,8,-73.198019000000,3.720307000000
34055,13,9,-73.197769000000,3.720307000000
34055,13,10,-73.197519000000,3.720307000000
34055,13,11,-73.197269000000,3.720307000000
34055,14,1,-73.199769000000,3.720557000000
34055,14,2,-73.199519000000,3.720557000000
34055,14,3,-73.199269000000,3.720557000000
34055,14,4,-73.199019000000,3.720557000000
34055,14,5,-73.198769000000,3.720557000000
34055,14,6,-73.198519000000,3.720557000000
34055,14,7,-73.198269000000,3.720557000000
34055,14,8,-73.198019000000,3.720557000000
34055,14,9,-73.197769000000,3.720557000000
34055,14,10,-73.197519000000,3.720557000000
34055,14,11,-73.197269000000,3.720557000000
34055,15,1,-73.199769000000,3.720807000000
34055,15,2,-73.199519000000,3.720807000000
34055,15,3,-73.199269000000,3.720807000000
34055,15,4,-73.199019000000,3.720807000000
34055,15,5,-73.198769000000,3.720807000000
34055,15,6,-73.198519000000,3.720807000000
34055,15,7,-73.198269000000,3.720807000000
34055,15,8,-73.198019000000,3.720807000000
34055,15,9,-73.197769000000,3.720807000000
34055,15,10,-73.197519000000,3.720807000000
34055,15,11,-73.197269000000,3.720807000000
34055,16,1,-73.199769000000,3.721057000000
34055,16,2,-73.199519000000,3.721057000000
34055,16,3,-73.199269000000,3.721057000000
34055,16,4,-73.199019000000,3.721057000000
34055,16,5,-73.198769000000,3.721057000000
34055,16,6,-73.198519000000,3.721057000000
34055,16,7,-73.198269000000,3.721057000000
34055,16,8,-73.198019000000,3.721057000000
34055,16,9,-73.197769000000,3.721057000000
34055,16,10,-73.197519000000,3.721057000000
34055,16,11,-73.197269000000,3.721057000000
34055,17,1,-73.199269000000,3.721307000000
34055,17,2,-73.199019000000,3.721307000000
34055,17,3,-73.198769000000,3.721307000000
34055,17,4,-73.198519000000,3.721307000000
34055,17,5,-73.198269000000,3.721307000000
34055,17,6,-73.198019000000,3.721307000000
34055,17,7,-73.197769000000,3.721307000000
34055,17,8,-73.197519000000,3.721307000000
34055,17,9,-73.197269000000,3.721307000000
34055,18,1,-73.198269000000,3.721557000000
34055,18,2,-73.198019000000,3.721557000000
34055,18,3,-73.197769000000,3.721557000000
34055,18,4,-73.197519000000,3.721557000000
34055,18,5,-73.197269000000,3.721557000000
34055,19,1,-73.197269000000,3.721807000000
34055,3,1,-73.199519000000,3.717807000000
34055,1,1,-73.199419000000,3.717407000000
34055,99,99,-73,198359,3,717828
34055,100,1,-73.210019000000,3.707057000000
99999,1,1,-73.199019000000,3.718057000000
34055,4,1,-73.199519000000,3.718057000000
34055,4,1,-73.199519000000,3.718057000000
34055,,1,-73.199019000000,3.718057000000
34055,101,1,-73.19801900000000216551,3.71905699999999983518
